datetime,YEAR,MO,DY,HR,latitude,longitude,tilt,azimuth,system_capacity_kw,ghi,dni,dhi,temp_air,wind_speed,humidity,sun_elevation,sun_azimuth,sun_zenith,poa_global,poa_direct,poa_diffuse,poa_sky_diffuse,poa_ground_diffuse,cell_temperature,dc_power_kw,ac_power_kw,energy_kwh,performance_ratio
2025-09-13 09:00:00+00:00,2025,9,13,9,40.79,-73.95,30,180,5.0,594.5,651.38,164.98,23.94,1.95,10.25,-18.20669957962002,68.16959697770415,108.20669957962002,163.88442273944725,0.0,163.88442273944725,153.92843555817834,9.955987181268899,28.97348974236435,0.12095973783651995,0.11612134832305915,0.11612134832305915,0.2604347593452406
2025-09-13 10:00:00+00:00,2025,9,13,10,40.79,-73.95,30,180,5.0,698.3,697.32,164.99,25.28,2.1,10.25,-7.338638363207217,78.74991804109527,97.33863836320722,165.63207325236309,0.0,165.63207325236309,153.9377656851973,11.694307567165806,30.326448837045866,0.12157736264741469,0.1167142681415181,0.1167142681415181,0.22285410881954867
2025-09-13 11:00:00+00:00,2025,9,13,11,40.79,-73.95,30,180,5.0,754.62,716.56,186.4,26.07,2.25,10.23,3.9280987800285154,88.63309273913444,85.88152086173298,222.59446355178432,36.04340719455122,186.55105635723308,173.91356763270971,12.637488724523358,32.797733497159065,0.16173865074967853,0.15526910471969138,0.15526910471969138,0.2743440048760814
2025-09-13 12:00:00+00:00,2025,9,13,12,40.79,-73.95,30,180,5.0,732.33,725.92,159.03,26.22,2.3,10.11,15.24079637332934,98.60058138981725,74.69932911467872,378.89114031207714,218.24992832433972,160.6412119877374,148.37700998191966,12.26420200581775,37.641081145321984,0.26979957428427226,0.25900759131290135,0.25900759131290135,0.47156808417498736
2025-09-13 13:00:00+00:00,2025,9,13,13,40.79,-73.95,30,180,5.0,671.08,675.37,169.97,25.89,2.42,10.06,26.23895400724082,109.49340078435375,63.727283853992915,529.7639972558368,359.9413693116739,169.8226279441629,158.58416894062054,11.23845900354236,41.75677411095927,0.37069159103947286,0.3558639273978939,0.3558639273978939,0.707047202316453
2025-09-13 14:00:00+00:00,2025,9,13,14,40.79,-73.95,30,180,5.0,546.45,629.99,147.35,25.27,2.86,10.12,36.44053569281173,122.37200786672838,53.53680463082834,606.5138456852112,459.8831217986436,146.6307238865677,137.47942162381852,9.151302262749184,43.01379874063734,0.42210852921515823,0.4052241880465519,0.4052241880465519,0.9887435582311328
2025-09-13 15:00:00+00:00,2025,9,13,15,40.79,-73.95,30,180,5.0,384.6,548.65,121.94,24.78,3.23,10.25,45.0824614365243,138.5918348488213,44.90082436644012,602.0056069608241,481.79320937902384,120.21239758180035,113.77156886873723,6.44082871306311,42.04831614112734,0.4207146595020199,0.4038860731219391,0.4038860731219391,1.4001943945985063
2025-09-13 16:00:00+00:00,2025,9,13,16,40.79,-73.95,30,180,5.0,198.73,369.15,87.01,23.96,3.54,10.53,50.96172676417246,159.28981113144346,39.02467254969581,441.5798722097635,357.0703405798817,84.50953162988182,81.18143519164201,3.328096438239812,36.41962396889328,0.3160568758787203,0.30341460084357147,0.30341460084357147,2.035690641195401
2025-09-13 17:00:00+00:00,2025,9,13,17,40.79,-73.95,30,180,5.0,42.1,87.74,32.46,22.37,3.74,10.98,52.66479050388136,183.47330359348996,37.32241468138109,117.9662262886762,86.97559267267036,30.990633616005834,30.285592303421442,0.7050413125843913,25.663407105674327,0.08823989081825867,0.08471029518552832,0.08471029518552832,2.682828034379361
2025-09-14 05:00:00+00:00,2025,9,14,5,40.79,-73.95,30,180,5.0,3.53,3.76,5.41,16.15,1.77,11.97,-45.85488618926712,3.08833006919275,135.85488618926712,5.106715007817024,0.0,5.106715007817024,5.047598717236907,0.059116290580116415,16.30836719841953,0.003963193330873565,0.0038046655976386222,0.0038046655976386222,1.437078601563219
2025-09-14 06:00:00+00:00,2025,9,14,6,40.79,-73.95,30,180,5.0,86.45,195.33,50.64,17.77,1.41,12.12,-43.209643916837024,23.832841042220025,133.20964391683702,48.6955262041764,0.0,48.6955262041764,47.24776322382199,1.4477629803544092,19.30960691485648,0.03735293470990131,0.035858817321505254,0.035858817321505254,0.5530567545248545
