YEAR,MO,DY,HR,QV2M,ALLSKY_SFC_SW_DWN,WS10M,ALLSKY_SFC_SW_DIFF,ALLSKY_SFC_SW_DNI,T2M
2025,9,12,0,9.69,0,2.16,0,0,16.64
2025,9,12,1,9.76,0,2.27,0,0,16.15
2025,9,12,2,9.83,0,2.32,0,0,15.72
2025,9,12,3,9.9,0,2.34,0,0,15.3
2025,9,12,4,10.01,0,2.42,0,0,14.97
2025,9,12,5,9.99,4.62,2.6,6.43,10.67,15.02
2025,9,12,6,9.85,77.3,3.08,46.09,185.7,16.56
2025,9,12,7,9.09,204.6,3.44,105.62,302.36,19.32
2025,9,12,8,7.92,349.27,3.47,173.97,369.34,21.85
2025,9,12,9,7.56,391.48,2.86,304.48,116.26,23.65
2025,9,12,10,7.7,496.1,2.14,297.43,268.23,25.01
2025,9,12,11,8.09,634.9,1.62,262.95,461.97,25.94
2025,9,12,12,8.2,657.53,1.34,155.32,683.4,26.47
2025,9,12,13,8.19,684.42,1.15,146.59,722.96,26.64
2025,9,12,14,8.16,581.25,1.01,135.07,710.67,26.73
2025,9,12,15,8.12,417.83,0.83,107.99,657.08,26.62
2025,9,12,16,8.26,183.43,0.65,101.98,249.62,25.92
2025,9,12,17,9.72,36.6,1.01,30.37,27.37,24
2025,9,12,18,9.27,0,2.25,0,0,21.06
2025,9,12,19,9.73,0,2.98,0,0,19.59
2025,9,12,20,10.58,0,2.97,0,0,18.93
2025,9,12,21,11.28,0,2.63,0,0,17.97
2025,9,12,22,11.62,0,2.44,0,0,17.48
2025,9,12,23,11.68,0,2.21,0,0,17
2025,9,13,0,11.63,0,2.06,0,0,16.31
2025,9,13,1,11.59,0,1.87,0,0,15.85
2025,9,13,2,11.54,0,1.82,0,0,15.76
2025,9,13,3,11.51,0,1.7,0,0,15.85
2025,9,13,4,11.51,0,1.64,0,0,15.83
2025,9,13,5,11.54,4.55,1.78,6.25,9.35,15.55
2025,9,13,6,11.82,100.15,1.86,55.37,243.6,17.58
2025,9,13,7,11.34,269.52,2.14,102.58,453.56,20.17
2025,9,13,8,10.52,438.83,1.98,137.72,578.55,22.16
2025,9,13,9,10.25,594.5,1.95,164.98,651.38,23.94
2025,9,13,10,10.25,698.3,2.1,164.99,697.32,25.28
2025,9,13,11,10.23,754.62,2.25,186.4,716.56,26.07
2025,9,13,12,10.11,732.33,2.3,159.03,725.92,26.22
2025,9,13,13,10.06,671.08,2.42,169.97,675.37,25.89
2025,9,13,14,10.12,546.45,2.86,147.35,629.99,25.27
2025,9,13,15,10.25,384.6,3.23,121.94,548.65,24.78
2025,9,13,16,10.53,198.73,3.54,87.01,369.15,23.96
2025,9,13,17,10.98,42.1,3.74,32.46,87.74,22.37
2025,9,13,18,11.32,0,3.49,0,0,20.56
2025,9,13,19,11.69,0,3.08,0,0,19.67
2025,9,13,20,11.92,0,2.59,0,0,19.19
2025,9,13,21,12.09,0,2.31,0,0,18.89
2025,9,13,22,12.2,0,2.1,0,0,18.71
2025,9,13,23,12.3,0,1.97,0,0,18.34
2025,9,14,0,12.34,0,2.05,0,0,17.71
2025,9,14,1,12.36,0,2.14,0,0,17.14
2025,9,14,2,12.33,0,2.1,0,0,16.85
2025,9,14,3,12.25,0,2.06,0,0,16.58
2025,9,14,4,12.12,0,2.01,0,0,16.34
2025,9,14,5,11.97,3.53,1.77,5.41,3.76,16.15
2025,9,14,6,12.12,86.45,1.41,50.64,195.33,17.77
2025,9,14,7,11.88,257.67,1.29,95.43,457.56,20.34
2025,9,14,8,11.15,441.2,2.01,124.51,591.31,23.28
2025,9,14,9,10.52,590.55,2.21,141.12,670.9,25.34
2025,9,14,10,10.19,683.03,1.66,161.02,682.34,26.78
2025,9,14,11,10.02,731.33,1.06,159.77,715.85,27.85
2025,9,14,12,9.97,708.78,0.88,172.96,680.65,28.44
2025,9,14,13,9.94,622.45,0.92,186.92,684.35,28.67
2025,9,14,14,9.9,503.02,1.07,199.63,479.1,28.6
2025,9,14,15,9.9,353,1.27,178.87,375.75,28.11
2025,9,14,16,10.14,176.32,1.24,126.82,188.82,27.28
2025,9,14,17,10.97,39.42,1.09,34.88,32.29,25.59
2025,9,14,18,10.69,0,1.17,0,0,23.55
2025,9,14,19,10.97,0,1.18,0,0,22.28
2025,9,14,20,11.34,0,1.15,0,0,21.25
2025,9,14,21,11.76,0,1,0,0,20.31
2025,9,14,22,12,0,0.65,0,0,19.68
2025,9,14,23,12.02,0,0.07,0,0,19.36
2025,9,15,0,11.93,0,0.56,0,0,18.88
2025,9,15,1,11.75,0,1.11,0,0,18.24
2025,9,15,2,11.63,0,1.51,0,0,17.4
2025,9,15,3,11.57,0,1.75,0,0,16.67
2025,9,15,4,11.59,0,1.97,0,0,16.09
2025,9,15,5,11.67,3.72,2.11,5.65,6.91,15.95
2025,9,15,6,11.65,95.28,2.41,58.22,228.47,17.33
2025,9,15,7,11.73,277.33,2.32,104.14,491.65,19.39
2025,9,15,8,11.19,467.92,2.64,114.69,677.53,22.24
2025,9,15,9,9.82,594.8,2.63,149.81,656.06,24.36
2025,9,15,10,9.16,724.25,2.48,153.52,755.59,25.88
2025,9,15,11,8.82,740.78,2.43,210.67,661.17,27
2025,9,15,12,8.59,740.83,2.47,171.15,727.04,27.72
2025,9,15,13,8.4,659.3,2.5,201.54,637.25,28.12
2025,9,15,14,8.24,457.9,2.56,299.08,221.71,28.18
2025,9,15,15,8.1,312.42,2.63,235.25,137.96,27.55
2025,9,15,16,8.29,152.65,2.68,121.96,64.86,26.26
2025,9,15,17,9.06,31.48,2.72,29.14,23.74,23.84
2025,9,15,18,9.35,0,2.88,0,0,21.42
2025,9,15,19,10.08,0,2.7,0,0,20.49
2025,9,15,20,10.82,0,2.22,0,0,19.53
2025,9,15,21,11.33,0,1.96,0,0,18.86
2025,9,15,22,11.62,0,1.8,0,0,18.07
2025,9,15,23,11.82,0,1.8,0,0,17.61
2025,9,16,0,12,0,1.88,0,0,17.41
2025,9,16,1,12.18,0,2.06,0,0,17.38
2025,9,16,2,12.3,0,2.31,0,0,17.28
2025,9,16,3,12.34,0,2.42,0,0,17.14
2025,9,16,4,12.26,0,2.43,0,0,17.07
2025,9,16,5,12.07,3.1,2.37,3.55,0,16.78
2025,9,16,6,11.88,69.72,2.74,61.11,14.49,17.62
2025,9,16,7,11.07,169.18,3.3,143.92,1.61,19.08
2025,9,16,8,9.62,274.77,3.72,234.99,25.76,20.79
2025,9,16,9,8.71,387.35,3.96,321.79,34.79,22.23
2025,9,16,10,8.14,481.35,4.14,388.15,56.48,23.29
2025,9,16,11,7.83,520.85,4.21,399.63,59,23.92
2025,9,16,12,7.66,398.17,4.22,326.88,8.98,24.34
2025,9,16,13,7.52,358.05,4.16,297.05,8.53,24.46
2025,9,16,14,7.41,305.52,4.09,260.34,13.21,24.12
2025,9,16,15,7.41,212.75,4.02,181.13,1.47,23.38
